ANGELEGT_AM,TATZEIT_ANFANG_STUNDE,TATZEIT_ENDE_DATUM,TATZEIT_ENDE_STUNDE,VERSUCH,ERFASSUNGSGRUND,ART_DES_FAHRRADS_Fahrrad,ART_DES_FAHRRADS_Herrenfahrrad,ART_DES_FAHRRADS_Kinderfahrrad,ART_DES_FAHRRADS_Lastenfahrrad,ART_DES_FAHRRADS_Mountainbike,ART_DES_FAHRRADS_Rennrad,ART_DES_FAHRRADS_diverse FahrrÃ¤der,DELIKT_Keller- und Bodeneinbruch,TATZEIT_ANFANG_YEAR,TATZEIT_ANFANG_MONTH
2023-07-11,0.6258571255029665,2023-07-10,16,0,Sonstiger schwerer Diebstahl von FahrrÃ¤dern,False,False,False,False,False,False,False,False,2023,7
2023-10-25,-1.9846474988925744,2023-10-25,4,0,Einfacher Diebstahl von FahrrÃ¤dern,False,False,False,False,False,False,False,False,2023,10
2023-10-08,-0.679395186694804,2023-10-07,10,0,Sonstiger schwerer Diebstahl von FahrrÃ¤dern,False,False,False,False,False,False,False,False,2023,10
2023-01-19,0.43939250947471353,2023-01-16,19,0,Sonstiger schwerer Diebstahl von FahrrÃ¤dern,False,False,True,False,False,False,False,False,2023,1
2023-08-20,0.8123217415312194,2023-08-19,22,0,Sonstiger schwerer Diebstahl von FahrrÃ¤dern,True,False,False,False,False,False,False,False,2023,8
2023-02-19,0.2529278934464606,2023-02-19,0,0,Sonstiger schwerer Diebstahl von FahrrÃ¤dern,False,False,False,False,False,False,False,False,2023,2
2023-10-25,0.9987863575594723,2023-10-25,11,0,Sonstiger schwerer Diebstahl von FahrrÃ¤dern,False,False,False,False,False,False,False,False,2023,10
2022-06-08,-0.12000133861004524,2022-06-02,18,0,Einfacher Diebstahl von FahrrÃ¤dern,True,False,False,False,False,False,False,False,2022,6
2023-07-18,1.371715589615978,2023-07-18,8,0,Sonstiger schwerer Diebstahl von FahrrÃ¤dern,False,True,False,False,False,False,False,False,2023,7
2022-08-26,-0.49293057066655105,2022-08-26,12,0,Sonstiger schwerer Diebstahl von FahrrÃ¤dern,False,False,False,False,True,False,False,False,2022,8
